username,firm,country_code,certification,specialization,years_experience,clients_portfolio_size,followers
auditor_0027,North Continental,ES,State Authorised,IT Audit,9,32,78
auditor_0028,Nordic Audit Partners,SE,CIA,IT Audit,3,12,193
auditor_0029,Integrity Audit,NL,State Authorised,Financial Audit,9,12,161
auditor_0030,North Continental,DK,None,Sustainability,8,27,63
auditor_0031,Integrity Audit,ES,CISA,IT Audit,6,14,2
auditor_0032,Global Assurance,DE,CISA,IT Audit,9,20,120
auditor_0033,Prime Advisory,NO,ACCA,Financial Audit,6,3,86
auditor_0034,Atlas Audit,DK,CPA,IT Audit,6,9,107
auditor_0035,Global Assurance,NL,None,Tax,10,36,133
auditor_0036,Integrity Audit,FI,State Authorised,Sustainability,9,17,0
auditor_0037,Global Assurance,SE,CIA,Tax,7,18,317
auditor_0038,Atlas Audit,NO,State Authorised,IT Audit,7,21,117
auditor_0039,Atlas Audit,NO,State Authorised,Sustainability,2,29,180
auditor_0040,Seaside Audit,FI,None,Tax,11,8,232
auditor_0041,Prime Advisory,DE,ACCA,Forensics,0,23,295
auditor_0042,Capital Assurance,FR,None,IT Audit,3,12,127
auditor_0043,Prime Advisory,FI,State Authorised,Financial Audit,5,2,125
auditor_0044,Atlas Audit,FI,CPA,Financial Audit,2,22,46
auditor_0045,Nordic Audit Partners,FI,State Authorised,Financial Audit,15,10,94
auditor_0046,Capital Assurance,SE,CPA,Financial Audit,12,5,138
auditor_0047,North Continental,FI,CPA,Tax,14,1,134
auditor_0048,Copenhagen Review,IT,ACCA,Tax,9,25,21
auditor_0049,Seaside Audit,FI,State Authorised,Forensics,1,23,143
auditor_0050,Capital Assurance,GB,ACCA,Sustainability,9,21,65
auditor_0051,Nordic Audit Partners,SE,State Authorised,Tax,9,20,62
auditor_0052,Global Assurance,FI,State Authorised,IT Audit,17,22,24
auditor_0053,Trust and Co,GB,State Authorised,IT Audit,11,8,182
auditor_0054,Global Assurance,FR,CISA,Sustainability,13,9,197
auditor_0055,Global Assurance,DK,CIA,IT Audit,10,26,271
auditor_0056,Nordic Audit Partners,SE,None,Tax,6,10,48
auditor_0057,Trust and Co,GB,ACCA,Financial Audit,3,17,147
auditor_0058,Seaside Audit,DK,State Authorised,Financial Audit,9,26,121
auditor_0059,Seaside Audit,DE,None,Tax,15,15,337
auditor_0060,Integrity Audit,GB,CIA,Tax,11,9,34
auditor_0061,Atlas Audit,FR,State Authorised,Financial Audit,10,15,177
auditor_0062,Nordic Audit Partners,IT,CIA,Financial Audit,10,17,52
auditor_0063,Capital Assurance,DK,State Authorised,IT Audit,0,13,188
auditor_0064,Atlas Audit,NO,State Authorised,IT Audit,9,5,133
auditor_0065,Trust and Co,SE,CPA,Forensics,9,9,132
auditor_0066,Prime Advisory,GB,State Authorised,Sustainability,8,6,148
auditor_0067,Prime Advisory,IT,CPA,IT Audit,10,28,204
auditor_0068,Seaside Audit,IT,CPA,Financial Audit,1,8,161
auditor_0069,Integrity Audit,FI,CIA,Financial Audit,10,23,428
auditor_0070,Integrity Audit,GB,State Authorised,Forensics,10,29,196
auditor_0071,North Continental,NL,None,Internal Control,11,14,180
auditor_0072,Nordic Audit Partners,FR,CPA,IT Audit,4,15,81
auditor_0073,Global Assurance,SE,CPA,IT Audit,8,41,0
auditor_0074,Trust and Co,NL,None,Sustainability,11,1,82
auditor_0075,Capital Assurance,DE,State Authorised,Tax,13,18,33
auditor_0076,Integrity Audit,IT,None,Tax,4,24,61
auditor_0077,Atlas Audit,DK,CIA,IT Audit,9,18,67
auditor_0078,Global Assurance,NO,State Authorised,Sustainability,18,24,0
auditor_0079,Atlas Audit,NO,State Authorised,IT Audit,8,11,188
auditor_0080,Capital Assurance,FI,CIA,Sustainability,4,16,160
auditor_0081,Atlas Audit,FR,State Authorised,Sustainability,12,5,93
auditor_0082,Nordic Audit Partners,SE,CPA,Tax,5,11,261
auditor_0083,Nordic Audit Partners,DK,State Authorised,Financial Audit,10,5,193
auditor_0084,Integrity Audit,NO,CIA,IT Audit,18,28,0
auditor_0085,Seaside Audit,ES,State Authorised,Financial Audit,5,30,63
auditor_0086,Trust and Co,ES,State Authorised,Financial Audit,10,25,45
auditor_0087,Atlas Audit,NO,ACCA,Financial Audit,7,1,38
auditor_0088,Capital Assurance,DK,None,Financial Audit,6,5,250
auditor_0089,Prime Advisory,SE,ACCA,IT Audit,0,13,130
auditor_0090,Seaside Audit,IT,CIA,Sustainability,15,3,213
auditor_0091,Prime Advisory,NO,None,Tax,8,8,156
auditor_0092,Seaside Audit,DK,State Authorised,Sustainability,8,11,125
auditor_0093,Seaside Audit,FI,State Authorised,Tax,6,19,172
auditor_0094,Global Assurance,GB,None,Sustainability,15,5,290
auditor_0095,Prime Advisory,FI,CISA,IT Audit,0,16,167
auditor_0096,Integrity Audit,FI,State Authorised,Forensics,9,11,103
auditor_0097,Seaside Audit,NL,State Authorised,Financial Audit,5,12,187
auditor_0098,Integrity Audit,NL,CPA,Financial Audit,9,11,191
auditor_0099,Atlas Audit,NL,None,Financial Audit,9,26,170
auditor_0100,Integrity Audit,NO,CPA,Internal Control,3,12,179
auditor_0101,Nordic Audit Partners,SE,CPA,Financial Audit,11,17,129
auditor_0102,Capital Assurance,GB,CPA,IT Audit,14,12,163
auditor_0103,Seaside Audit,IT,State Authorised,Financial Audit,6,15,207
auditor_0104,Seaside Audit,DK,CPA,Tax,12,26,224
auditor_0105,Prime Advisory,NL,ACCA,Internal Control,8,24,95
auditor_0106,Capital Assurance,IT,State Authorised,Tax,9,16,127
auditor_0107,Integrity Audit,ES,State Authorised,Financial Audit,10,9,287
auditor_0108,Seaside Audit,DE,CPA,Financial Audit,2,5,212
auditor_0109,Seaside Audit,NO,CPA,Financial Audit,11,24,170
auditor_0110,Atlas Audit,DK,State Authorised,Financial Audit,7,9,126
auditor_0111,Copenhagen Review,IT,CIA,IT Audit,4,27,108
auditor_0112,North Continental,FI,CPA,Tax,3,14,153
auditor_0113,Trust and Co,SE,State Authorised,Forensics,5,9,139
auditor_0114,Copenhagen Review,NL,State Authorised,Internal Control,9,12,82
auditor_0115,Prime Advisory,DE,State Authorised,Financial Audit,9,3,7
auditor_0116,Nordic Audit Partners,DK,State Authorised,IT Audit,4,15,144
auditor_0117,Global Assurance,FR,ACCA,IT Audit,15,26,107
auditor_0118,Prime Advisory,GB,ACCA,Financial Audit,7,7,118
auditor_0119,Nordic Audit Partners,SE,CISA,Financial Audit,6,21,53
auditor_0120,Atlas Audit,FR,State Authorised,Financial Audit,10,33,111
auditor_0121,Global Assurance,FR,State Authorised,IT Audit,10,24,87
auditor_0122,Atlas Audit,ES,CPA,Internal Control,9,18,127
auditor_0123,North Continental,IT,CISA,Sustainability,4,18,159
auditor_0124,Seaside Audit,ES,ACCA,Financial Audit,15,27,292
auditor_0125,North Continental,FR,State Authorised,Financial Audit,4,26,134
auditor_0126,Integrity Audit,ES,ACCA,Financial Audit,18,9,52
auditor_0127,North Continental,SE,CIA,Financial Audit,5,1,77
auditor_0128,Capital Assurance,NL,None,Financial Audit,4,19,147
auditor_0129,Trust and Co,FI,ACCA,Financial Audit,17,27,73
auditor_0130,Prime Advisory,SE,ACCA,Financial Audit,3,22,14
auditor_0131,North Continental,GB,State Authorised,Tax,17,29,82
auditor_0132,Seaside Audit,IT,None,Financial Audit,0,31,110
auditor_0133,Copenhagen Review,GB,ACCA,Internal Control,14,2,72
auditor_0134,Integrity Audit,GB,None,Internal Control,8,18,83
auditor_0135,Seaside Audit,ES,CIA,IT Audit,11,7,108
auditor_0136,Copenhagen Review,FI,ACCA,Financial Audit,8,23,176
auditor_0137,North Continental,DK,ACCA,Forensics,2,2,222
auditor_0138,Seaside Audit,NO,CISA,Sustainability,9,10,244
auditor_0139,Copenhagen Review,ES,State Authorised,Financial Audit,8,29,125
auditor_0140,Copenhagen Review,DK,State Authorised,Financial Audit,18,35,100
auditor_0141,North Continental,NO,State Authorised,Financial Audit,12,24,229
auditor_0142,Prime Advisory,FR,State Authorised,Tax,3,24,204
auditor_0143,Seaside Audit,DE,CISA,Tax,0,6,0
auditor_0144,Integrity Audit,SE,ACCA,Tax,6,25,240
auditor_0145,Nordic Audit Partners,NL,State Authorised,Financial Audit,8,34,9
auditor_0146,Nordic Audit Partners,DK,None,Financial Audit,0,17,150
auditor_0147,Nordic Audit Partners,IT,State Authorised,Financial Audit,7,1,112
auditor_0148,Global Assurance,IT,None,IT Audit,1,24,149
auditor_0149,Integrity Audit,NL,State Authorised,IT Audit,3,12,35
auditor_0150,Global Assurance,NO,None,Financial Audit,7,27,41
auditor_0151,Nordic Audit Partners,DE,CPA,Sustainability,10,12,56
auditor_0152,Seaside Audit,GB,None,Financial Audit,7,7,75
auditor_0153,Copenhagen Review,FI,State Authorised,Tax,2,37,122
auditor_0154,Copenhagen Review,SE,CISA,IT Audit,4,20,111
auditor_0155,Nordic Audit Partners,NL,CPA,Forensics,6,24,180
auditor_0156,Global Assurance,ES,CPA,Financial Audit,5,12,97
auditor_0157,Seaside Audit,FR,State Authorised,Internal Control,0,2,229
auditor_0158,North Continental,NO,ACCA,Tax,16,15,166
auditor_0159,Integrity Audit,IT,CISA,IT Audit,9,48,209
auditor_0160,North Continental,FR,ACCA,Tax,7,8,0
auditor_0161,Integrity Audit,NL,None,Tax,9,10,6
auditor_0162,Global Assurance,DE,None,Financial Audit,4,7,254
auditor_0163,North Continental,IT,CPA,Financial Audit,12,17,238
auditor_0164,Nordic Audit Partners,FR,None,Financial Audit,8,9,241
auditor_0165,Prime Advisory,NL,CISA,Financial Audit,10,7,104
auditor_0166,Copenhagen Review,DE,CPA,IT Audit,3,4,194
auditor_0167,Prime Advisory,SE,State Authorised,Financial Audit,17,4,165
auditor_0168,Atlas Audit,FI,CIA,Forensics,4,13,72
auditor_0169,North Continental,FR,CISA,Financial Audit,3,18,53
auditor_0170,Prime Advisory,GB,CIA,Financial Audit,9,17,100
auditor_0171,Copenhagen Review,NL,ACCA,IT Audit,3,12,180
auditor_0172,Seaside Audit,ES,State Authorised,Forensics,10,8,127
auditor_0173,Integrity Audit,DE,State Authorised,Financial Audit,11,1,163
auditor_0174,Prime Advisory,NL,State Authorised,IT Audit,4,23,58
auditor_0175,Trust and Co,FI,State Authorised,IT Audit,0,1,123
auditor_0176,Copenhagen Review,ES,CPA,Internal Control,9,8,171
auditor_0177,Prime Advisory,DE,State Authorised,Financial Audit,0,17,23
auditor_0178,Nordic Audit Partners,ES,State Authorised,Financial Audit,4,18,51
auditor_0179,Nordic Audit Partners,ES,State Authorised,Internal Control,6,28,73
auditor_0180,North Continental,SE,None,IT Audit,12,6,162
auditor_0181,North Continental,FR,ACCA,Financial Audit,15,1,56
auditor_0182,Nordic Audit Partners,DE,None,IT Audit,10,15,149
auditor_0183,Global Assurance,GB,ACCA,IT Audit,4,18,107
auditor_0184,Nordic Audit Partners,NO,State Authorised,IT Audit,13,20,147
auditor_0185,Integrity Audit,SE,None,Financial Audit,5,13,85
auditor_0186,Seaside Audit,IT,CPA,IT Audit,9,13,143
auditor_0187,Atlas Audit,GB,ACCA,Financial Audit,18,26,93
auditor_0188,Copenhagen Review,GB,State Authorised,IT Audit,14,13,0
auditor_0189,Copenhagen Review,SE,None,Financial Audit,2,1,91
auditor_0190,Prime Advisory,DE,CIA,Financial Audit,8,34,146
auditor_0191,Trust and Co,ES,State Authorised,Financial Audit,6,26,0
auditor_0192,North Continental,IT,ACCA,Financial Audit,9,25,1
auditor_0193,Integrity Audit,DE,CIA,IT Audit,13,21,86
auditor_0194,Prime Advisory,DE,CISA,IT Audit,11,40,134
auditor_0195,Prime Advisory,GB,State Authorised,Financial Audit,9,13,52
auditor_0196,Trust and Co,DE,CISA,Financial Audit,12,9,125
auditor_0197,Trust and Co,DE,CPA,Tax,5,22,146
auditor_0198,Integrity Audit,FR,State Authorised,Forensics,13,12,98
auditor_0199,Seaside Audit,DE,CPA,IT Audit,3,13,150
auditor_0200,Global Assurance,IT,State Authorised,Financial Audit,11,8,189
auditor_0201,Capital Assurance,IT,State Authorised,Financial Audit,14,22,270
auditor_0202,Copenhagen Review,IT,None,Internal Control,4,5,0
auditor_0203,Integrity Audit,IT,State Authorised,Tax,15,24,115
auditor_0204,North Continental,ES,CIA,Sustainability,9,6,315
auditor_0205,Trust and Co,IT,ACCA,Tax,8,19,178
auditor_0206,Global Assurance,FR,State Authorised,Financial Audit,10,20,56
auditor_0207,Global Assurance,NO,State Authorised,Forensics,10,36,227
auditor_0208,Integrity Audit,GB,CISA,IT Audit,15,12,40
auditor_0209,North Continental,SE,State Authorised,Financial Audit,7,18,207
auditor_0210,Seaside Audit,ES,CISA,Financial Audit,0,33,107
auditor_0211,Atlas Audit,FR,ACCA,Financial Audit,5,7,0
auditor_0212,Capital Assurance,IT,CISA,IT Audit,12,18,16
auditor_0213,Nordic Audit Partners,FI,State Authorised,Financial Audit,1,14,253
auditor_0214,Integrity Audit,FR,None,IT Audit,6,2,100
auditor_0215,Nordic Audit Partners,IT,CISA,Forensics,6,1,115
auditor_0216,Integrity Audit,ES,State Authorised,Financial Audit,6,24,267
auditor_0217,Prime Advisory,SE,ACCA,Financial Audit,13,15,31
auditor_0218,Trust and Co,FR,None,Financial Audit,20,18,121
auditor_0219,Integrity Audit,GB,CISA,Internal Control,7,19,108
auditor_0220,Prime Advisory,FR,CPA,Financial Audit,5,12,117
auditor_0221,Copenhagen Review,ES,CIA,Financial Audit,5,10,128
auditor_0222,Global Assurance,DE,CISA,Sustainability,6,33,0
auditor_0223,Capital Assurance,ES,State Authorised,Financial Audit,13,30,0
auditor_0224,Integrity Audit,IT,CPA,Forensics,6,14,7
auditor_0225,Trust and Co,FR,CPA,Financial Audit,4,6,260
auditor_0226,Atlas Audit,ES,ACCA,Internal Control,12,30,177
auditor_0227,Prime Advisory,FI,CPA,Financial Audit,2,12,159
auditor_0228,Seaside Audit,DK,State Authorised,IT Audit,1,25,100
auditor_0229,Seaside Audit,GB,None,Tax,6,25,155
auditor_0230,Trust and Co,FR,None,Financial Audit,6,29,33
auditor_0231,Copenhagen Review,NL,None,Sustainability,11,23,95
auditor_0232,North Continental,SE,CPA,IT Audit,9,5,193
auditor_0233,Trust and Co,GB,None,Internal Control,7,12,203
auditor_0234,Global Assurance,FR,CISA,Financial Audit,4,3,0
auditor_0235,Copenhagen Review,GB,CPA,Sustainability,11,5,260
auditor_0236,Atlas Audit,GB,None,IT Audit,0,34,136
auditor_0237,North Continental,ES,State Authorised,Financial Audit,7,12,151
auditor_0238,Integrity Audit,FI,CIA,Financial Audit,7,29,129
auditor_0239,Global Assurance,SE,ACCA,Forensics,8,14,115
auditor_0240,Nordic Audit Partners,DK,State Authorised,Financial Audit,9,1,12
auditor_0241,Capital Assurance,NL,ACCA,Financial Audit,11,19,105
auditor_0242,Seaside Audit,IT,CIA,Financial Audit,8,21,76
auditor_0243,Trust and Co,SE,CPA,Financial Audit,4,19,41
auditor_0244,Prime Advisory,FR,None,Financial Audit,10,1,202
auditor_0245,North Continental,DE,ACCA,Forensics,10,20,198
auditor_0246,North Continental,DE,CIA,Financial Audit,16,28,0
auditor_0247,North Continental,NL,None,Financial Audit,1,11,122
auditor_0248,Seaside Audit,DE,ACCA,Financial Audit,10,10,134
auditor_0249,Seaside Audit,FR,State Authorised,Financial Audit,4,11,7
auditor_0250,Capital Assurance,IT,State Authorised,Forensics,3,4,41
auditor_0251,Nordic Audit Partners,GB,State Authorised,IT Audit,13,8,330
auditor_0252,Nordic Audit Partners,IT,CIA,Tax,10,19,51
auditor_0253,Integrity Audit,FI,CPA,Financial Audit,11,12,129
auditor_0254,Prime Advisory,IT,State Authorised,Tax,20,17,211
auditor_0255,Trust and Co,SE,None,Forensics,4,17,261
auditor_0256,Integrity Audit,FR,State Authorised,Financial Audit,4,36,176
auditor_0257,Trust and Co,SE,None,Financial Audit,5,24,197
auditor_0258,Seaside Audit,NO,State Authorised,Tax,11,2,61
auditor_0259,Capital Assurance,ES,CPA,Financial Audit,6,17,169
auditor_0260,Trust and Co,DE,None,Internal Control,8,4,150
auditor_0261,Integrity Audit,NL,CISA,IT Audit,11,23,206
auditor_0262,Global Assurance,NO,CISA,Financial Audit,12,22,114
auditor_0263,Seaside Audit,ES,ACCA,Tax,0,22,136
auditor_0264,Nordic Audit Partners,DE,CPA,IT Audit,9,5,33
auditor_0265,Integrity Audit,IT,ACCA,Forensics,13,17,174
auditor_0266,Capital Assurance,SE,CIA,IT Audit,8,18,195
auditor_0267,Copenhagen Review,ES,State Authorised,IT Audit,5,18,83
auditor_0268,Global Assurance,FR,None,Financial Audit,5,14,137
auditor_0269,Seaside Audit,SE,State Authorised,Internal Control,5,30,48
auditor_0270,Integrity Audit,FR,State Authorised,Financial Audit,7,13,235
auditor_0271,Atlas Audit,NO,ACCA,Financial Audit,8,28,1
auditor_0272,Atlas Audit,GB,CPA,Tax,9,26,126
auditor_0273,Seaside Audit,SE,CISA,IT Audit,13,12,232
auditor_0274,Integrity Audit,DK,CIA,Financial Audit,19,14,84
auditor_0275,North Continental,FI,None,Financial Audit,15,33,78
auditor_0276,Capital Assurance,ES,None,Forensics,5,15,12
auditor_0277,Nordic Audit Partners,GB,State Authorised,Internal Control,3,7,58
auditor_0278,North Continental,SE,CIA,Forensics,7,20,244
auditor_0279,Copenhagen Review,DK,State Authorised,Financial Audit,3,27,102
auditor_0280,Trust and Co,IT,State Authorised,Tax,7,24,30
auditor_0281,Atlas Audit,FI,CPA,Tax,9,19,159
auditor_0282,Prime Advisory,NL,CISA,Tax,9,42,68
auditor_0283,Copenhagen Review,DK,State Authorised,Internal Control,5,11,75
auditor_0284,Trust and Co,ES,State Authorised,Financial Audit,4,29,233
auditor_0285,Nordic Audit Partners,NO,State Authorised,Tax,5,9,157
auditor_0286,Prime Advisory,IT,State Authorised,Financial Audit,5,24,136
auditor_0287,Nordic Audit Partners,NO,CIA,IT Audit,0,33,263
auditor_0288,Global Assurance,FR,ACCA,Financial Audit,4,14,142
auditor_0289,Copenhagen Review,SE,ACCA,Financial Audit,9,24,280
auditor_0290,Copenhagen Review,DK,CIA,Sustainability,7,10,9
auditor_0291,Atlas Audit,DE,ACCA,Internal Control,4,17,263
auditor_0292,Nordic Audit Partners,FR,CISA,Financial Audit,5,20,118
auditor_0293,Global Assurance,FR,CIA,Financial Audit,13,43,77
auditor_0294,Global Assurance,NL,CPA,Financial Audit,5,28,174
auditor_0295,Integrity Audit,IT,CPA,IT Audit,17,23,91
auditor_0296,Capital Assurance,GB,None,IT Audit,10,29,185
auditor_0297,North Continental,ES,CPA,Financial Audit,10,28,213
auditor_0298,Global Assurance,ES,CIA,Financial Audit,14,24,106
auditor_0299,North Continental,FI,ACCA,Tax,8,30,54
auditor_0300,Seaside Audit,GB,CIA,Financial Audit,9,14,122
auditor_0301,Capital Assurance,DE,ACCA,Financial Audit,14,19,123
auditor_0302,North Continental,SE,State Authorised,Financial Audit,1,25,171
auditor_0303,Seaside Audit,SE,CIA,Financial Audit,18,14,137
auditor_0304,Trust and Co,ES,State Authorised,Internal Control,9,33,112
auditor_0305,Atlas Audit,NL,CIA,Financial Audit,9,24,134
auditor_0306,Seaside Audit,DK,None,IT Audit,5,19,205
auditor_0307,Capital Assurance,SE,CPA,Financial Audit,2,19,63
auditor_0308,North Continental,FI,CISA,Financial Audit,13,2,75
auditor_0309,Atlas Audit,NL,State Authorised,Financial Audit,9,33,114
auditor_0310,Prime Advisory,GB,CISA,Internal Control,5,36,4
auditor_0311,Copenhagen Review,IT,CIA,IT Audit,0,22,79
auditor_0312,Copenhagen Review,DE,State Authorised,Financial Audit,2,25,139
auditor_0313,Integrity Audit,NL,ACCA,Financial Audit,5,5,189
auditor_0314,Trust and Co,IT,CIA,Financial Audit,11,17,267
auditor_0315,Nordic Audit Partners,SE,CIA,Financial Audit,2,2,64
auditor_0316,Seaside Audit,FR,State Authorised,Financial Audit,7,20,100
auditor_0317,Capital Assurance,IT,CPA,Sustainability,9,5,235
auditor_0318,Trust and Co,NO,CISA,Financial Audit,7,29,147
auditor_0319,Global Assurance,DE,ACCA,Financial Audit,10,23,155
auditor_0320,Copenhagen Review,FR,ACCA,Financial Audit,11,31,135
auditor_0321,Atlas Audit,SE,State Authorised,Financial Audit,11,17,235
auditor_0322,Copenhagen Review,FR,CPA,Financial Audit,4,36,116
auditor_0323,Prime Advisory,GB,None,Financial Audit,0,19,65
auditor_0324,Prime Advisory,DE,None,Tax,12,11,84
auditor_0325,Integrity Audit,DE,State Authorised,Financial Audit,0,13,0
auditor_0326,Seaside Audit,NO,State Authorised,IT Audit,0,25,182
auditor_0327,Prime Advisory,ES,CPA,Forensics,10,8,116
auditor_0328,Capital Assurance,SE,ACCA,Tax,7,6,240
auditor_0329,Seaside Audit,DK,ACCA,Financial Audit,12,15,122
auditor_0330,Capital Assurance,IT,ACCA,Financial Audit,9,1,100
auditor_0331,Seaside Audit,DE,State Authorised,Financial Audit,4,7,97
auditor_0332,Capital Assurance,NO,CISA,IT Audit,16,24,74
auditor_0333,Capital Assurance,SE,ACCA,Financial Audit,10,31,193
auditor_0334,Seaside Audit,IT,ACCA,Financial Audit,8,11,175
auditor_0335,Integrity Audit,NL,State Authorised,Tax,9,26,170
auditor_0336,Global Assurance,ES,CPA,IT Audit,13,12,225
auditor_0337,Prime Advisory,NL,ACCA,Internal Control,8,38,64
auditor_0338,Trust and Co,FI,State Authorised,Financial Audit,16,19,67
auditor_0339,Trust and Co,IT,State Authorised,Tax,5,14,153
auditor_0340,Global Assurance,NO,None,IT Audit,10,12,118
auditor_0341,North Continental,IT,CISA,Financial Audit,18,35,154
auditor_0342,Copenhagen Review,IT,State Authorised,Internal Control,8,19,169
auditor_0343,Capital Assurance,NO,ACCA,IT Audit,2,15,0
auditor_0344,Integrity Audit,DE,CPA,Financial Audit,9,24,81
auditor_0345,Global Assurance,DE,ACCA,Financial Audit,15,5,2
auditor_0346,Capital Assurance,DE,State Authorised,Sustainability,9,28,254
auditor_0347,Global Assurance,IT,CPA,Financial Audit,5,28,116
auditor_0348,Copenhagen Review,ES,None,Tax,7,26,172
auditor_0349,Nordic Audit Partners,FR,None,IT Audit,0,32,230
auditor_0350,Prime Advisory,NL,CPA,IT Audit,4,21,159
auditor_0351,Nordic Audit Partners,FR,State Authorised,Sustainability,9,12,66
auditor_0352,Capital Assurance,SE,CPA,Financial Audit,7,29,163
auditor_0353,Prime Advisory,FR,None,IT Audit,6,25,0
auditor_0354,Copenhagen Review,NO,ACCA,Sustainability,13,1,91
auditor_0355,Seaside Audit,GB,CISA,Forensics,2,5,212
auditor_0356,Nordic Audit Partners,NL,State Authorised,Financial Audit,5,21,116
auditor_0357,Seaside Audit,DE,State Authorised,Sustainability,10,18,17
auditor_0358,Copenhagen Review,NO,State Authorised,IT Audit,12,13,0
auditor_0359,Trust and Co,NL,State Authorised,Forensics,5,33,188
auditor_0360,Seaside Audit,NO,CPA,Internal Control,6,14,94
auditor_0361,Integrity Audit,ES,ACCA,Tax,18,21,154
auditor_0362,Trust and Co,ES,State Authorised,Forensics,13,20,99
auditor_0363,Atlas Audit,NL,State Authorised,Financial Audit,7,17,117
auditor_0364,Prime Advisory,NL,None,IT Audit,11,18,178
auditor_0365,Prime Advisory,NO,State Authorised,Financial Audit,7,18,0
auditor_0366,Global Assurance,ES,CISA,Tax,12,21,199
auditor_0367,Atlas Audit,DK,CIA,Sustainability,0,38,108
auditor_0368,Copenhagen Review,NO,CPA,Financial Audit,13,7,169
auditor_0369,Trust and Co,IT,CISA,Financial Audit,2,11,273
auditor_0370,North Continental,DK,ACCA,Forensics,7,20,189
auditor_0371,Prime Advisory,FR,CPA,Tax,10,19,149
auditor_0372,North Continental,FI,CPA,Financial Audit,20,17,136
auditor_0373,North Continental,FI,ACCA,Internal Control,13,29,214
auditor_0374,North Continental,FR,CISA,Tax,11,6,250
auditor_0375,Atlas Audit,ES,ACCA,Financial Audit,2,21,59
auditor_0376,Prime Advisory,IT,State Authorised,Financial Audit,7,21,145
auditor_0377,North Continental,NL,CPA,Financial Audit,10,34,156
auditor_0378,Atlas Audit,SE,State Authorised,Tax,6,27,215
auditor_0379,Integrity Audit,FR,None,Financial Audit,1,23,176
auditor_0380,Seaside Audit,SE,None,Financial Audit,6,31,107
auditor_0381,North Continental,NL,None,Financial Audit,8,16,121
auditor_0382,Seaside Audit,ES,ACCA,Financial Audit,2,3,247
auditor_0383,Global Assurance,NL,State Authorised,Financial Audit,3,8,0
auditor_0384,Global Assurance,NL,CISA,Financial Audit,4,4,251
auditor_0385,Integrity Audit,FR,CIA,Financial Audit,13,11,300
auditor_0386,North Continental,FR,CPA,Sustainability,12,14,0
auditor_0387,Nordic Audit Partners,DE,State Authorised,Financial Audit,19,4,0
auditor_0388,Copenhagen Review,ES,ACCA,Tax,13,42,230
auditor_0389,Prime Advisory,DE,State Authorised,Financial Audit,10,23,188
auditor_0390,Copenhagen Review,FR,State Authorised,Tax,11,20,128
auditor_0391,North Continental,IT,CPA,Forensics,7,10,97
auditor_0392,Copenhagen Review,FI,CIA,Financial Audit,0,17,40
auditor_0393,Nordic Audit Partners,IT,ACCA,IT Audit,2,19,231
auditor_0394,Trust and Co,SE,CPA,Financial Audit,12,2,40
auditor_0395,Atlas Audit,ES,CPA,Internal Control,12,8,102
auditor_0396,Atlas Audit,DK,ACCA,IT Audit,10,8,128
auditor_0397,Seaside Audit,NL,State Authorised,Financial Audit,1,11,145
auditor_0398,Global Assurance,NL,State Authorised,Forensics,0,22,118
auditor_0399,Global Assurance,IT,CIA,Financial Audit,10,20,229
auditor_0400,Nordic Audit Partners,NL,CPA,Tax,8,13,129
auditor_0401,Trust and Co,FR,None,IT Audit,10,18,123
auditor_0402,Trust and Co,NO,State Authorised,Tax,4,11,7
