id,username,client_name,country_code,industry_code,engagement_type,date_start,date_end,latitude,longitude
41,auditor_2753,ClientCorp 0944,DE,UTIL01,Review,2020-08-26,2020-09-04,,
42,auditor_3082,ClientCorp 2394,ES,CONS03,Statutory Audit,2015-12-15,2016-01-08,,
43,auditor_3329,ClientCorp 1212,ES,CONS01,Review,2021-06-18,2021-07-07,,
44,auditor_1952,ClientCorp 2353,SE,HC03,Statutory Audit,2023-08-12,2023-08-13,,
45,auditor_0616,ClientCorp 1440,ES,FIN01,Advisory,2018-03-29,2018-04-04,,
46,auditor_2546,ClientCorp 0348,DK,IND01,Statutory Audit,2020-04-04,2020-04-28,,
47,auditor_2077,ClientCorp 3561,IT,REAL02,Statutory Audit,2015-06-30,2015-07-12,,
48,auditor_0200,ClientCorp 0023,FI,REAL02,Review,2024-12-07,2024-12-18,,
49,auditor_1547,ClientCorp 2830,NL,TMT03,Review,2015-12-30,2016-01-04,,
50,auditor_2965,ClientCorp 4227,GB,PUB02,Statutory Audit,2016-09-06,2016-10-01,,
51,auditor_1547,ClientCorp 4613,NO,CONS03,Statutory Audit,2019-08-19,2019-09-25,,
52,auditor_3267,ClientCorp 2208,NL,IND03,Statutory Audit,2018-08-10,2018-09-05,,
53,auditor_2708,ClientCorp 0402,NO,HC02,Statutory Audit,2024-03-19,2024-04-17,,
54,auditor_3215,ClientCorp 4726,ES,TMT03,Statutory Audit,2015-06-21,2015-07-16,,
55,auditor_2925,ClientCorp 0323,GB,ENE01,Review,2015-08-06,2015-08-07,,
56,auditor_0851,ClientCorp 1970,IT,TMT03,Statutory Audit,2024-08-07,2024-09-06,,
57,auditor_2286,ClientCorp 3769,DK,TMT03,Review,2023-10-27,2023-10-30,,
58,auditor_3163,ClientCorp 5116,ES,HC03,Review,2024-08-07,2024-08-16,,
59,auditor_0756,ClientCorp 1031,DK,HC01,Statutory Audit,2018-01-01,2018-01-28,,
60,auditor_3801,ClientCorp 1003,ES,CONS03,Advisory,2017-11-01,2017-11-30,,
61,auditor_0508,ClientCorp 4554,DK,HC03,Advisory,2023-04-13,2023-05-04,,
62,auditor_1071,ClientCorp 5125,NO,PUB02,Review,2024-08-11,2024-08-12,,
63,auditor_2242,ClientCorp 3881,ES,FIN01,Statutory Audit,2017-10-16,2017-11-20,,
64,auditor_0794,ClientCorp 3098,ES,UTIL02,Review,2017-02-07,2017-02-18,,
65,auditor_2653,ClientCorp 0526,NO,FIN03,Statutory Audit,2017-09-19,2017-10-15,,
66,auditor_2756,ClientCorp 0537,IT,FIN01,Statutory Audit,2019-06-27,2019-07-14,,
67,auditor_2776,ClientCorp 2418,IT,PUB02,Review,2020-11-06,2020-11-21,,
68,auditor_2642,ClientCorp 5485,GB,HC01,Review,2018-06-13,2018-06-25,,
69,auditor_1218,ClientCorp 1300,GB,ENE01,Statutory Audit,2024-11-11,2024-11-30,,
70,auditor_3098,ClientCorp 5874,ES,HC02,Statutory Audit,2023-02-06,2023-02-13,,
71,auditor_1764,ClientCorp 1753,DE,TMT01,Statutory Audit,2023-09-23,2023-11-03,,
72,auditor_0336,ClientCorp 3785,GB,HC03,Advisory,2024-03-21,2024-04-08,,
73,auditor_1194,ClientCorp 5175,NL,IND01,Statutory Audit,2018-12-23,2019-01-25,,
74,auditor_3103,ClientCorp 2381,NO,PUB02,Advisory,2015-06-23,2015-07-05,,
75,auditor_1651,ClientCorp 1877,NL,PUB01,Review,2019-02-20,2019-02-23,,
76,auditor_2226,ClientCorp 5597,DK,UTIL02,Statutory Audit,2017-02-24,2017-04-06,,
77,auditor_2738,ClientCorp 0694,GB,UTIL01,Statutory Audit,2018-06-14,2018-07-21,,
78,auditor_3244,ClientCorp 2293,IT,CONS01,Advisory,2020-10-02,2020-10-26,,
79,auditor_3932,ClientCorp 4345,FI,ENE02,Statutory Audit,2015-04-03,2015-04-09,,
80,auditor_2993,ClientCorp 0893,ES,TMT03,Statutory Audit,2021-03-27,2021-03-28,,
81,auditor_2124,ClientCorp 1462,NL,CONS03,Advisory,2018-02-02,2018-02-06,,
82,auditor_2971,ClientCorp 1100,DK,UTIL02,Statutory Audit,2024-04-29,2024-05-20,,
83,auditor_2759,ClientCorp 5639,DK,PUB02,Statutory Audit,2018-04-01,2018-04-26,,
84,auditor_3493,ClientCorp 2387,FI,TMT02,Statutory Audit,2017-06-04,2017-06-23,,
85,auditor_3972,ClientCorp 2909,DE,FIN02,Statutory Audit,2020-11-25,2020-12-12,,
86,auditor_2404,ClientCorp 2582,GB,FIN02,Advisory,2016-05-15,2016-05-22,,
87,auditor_2983,ClientCorp 1818,SE,REAL02,Advisory,2024-01-15,2024-01-23,,
88,auditor_0368,ClientCorp 0775,ES,CONS01,Review,2020-02-06,2020-02-12,,
89,auditor_1910,ClientCorp 5909,ES,TMT03,Advisory,2016-05-21,2016-05-23,,
90,auditor_0197,ClientCorp 4969,IT,IND01,Assurance Other,2017-09-14,2017-10-01,,
91,auditor_0374,ClientCorp 5169,FI,TMT03,Review,2020-07-10,2020-07-18,,
92,auditor_0551,ClientCorp 3318,DK,CONS01,Review,2017-07-13,2017-07-17,,
93,auditor_3614,ClientCorp 3332,SE,REAL01,Advisory,2023-02-10,2023-03-01,,
94,auditor_3916,ClientCorp 0688,ES,FIN02,Advisory,2021-11-11,2021-11-24,,
95,auditor_2034,ClientCorp 2683,FR,CONS01,Assurance Other,2016-01-26,2016-02-06,,
96,auditor_3935,ClientCorp 4102,ES,HC02,Advisory,2023-09-26,2023-10-16,,
97,auditor_2950,ClientCorp 4297,NO,PUB01,Advisory,2015-02-13,2015-03-10,,
98,auditor_0854,ClientCorp 0218,IT,REAL01,Assurance Other,2015-05-01,2015-05-05,,
99,auditor_0437,ClientCorp 2741,ES,REAL01,Review,2016-04-03,2016-04-14,,
100,auditor_0523,ClientCorp 4893,FI,HC03,Statutory Audit,2015-02-23,2015-03-10,,
101,auditor_2819,ClientCorp 3091,FR,REAL02,Statutory Audit,2022-02-21,2022-03-13,,
102,auditor_1080,ClientCorp 5975,SE,TMT01,Statutory Audit,2021-09-07,2021-10-03,,
103,auditor_3933,ClientCorp 5938,IT,REAL01,Advisory,2015-01-13,2015-01-27,,
104,auditor_2785,ClientCorp 1751,NL,PUB01,Statutory Audit,2021-11-02,2021-11-03,,
105,auditor_0548,ClientCorp 0475,SE,FIN01,Statutory Audit,2021-10-08,2021-10-27,,
106,auditor_3311,ClientCorp 1010,IT,TMT03,Advisory,2022-03-03,2022-03-25,,
107,auditor_1174,ClientCorp 0892,FI,HC03,Statutory Audit,2017-07-14,2017-07-28,,
108,auditor_1626,ClientCorp 4341,DK,ENE01,Statutory Audit,2024-05-25,2024-06-17,,
109,auditor_2402,ClientCorp 1142,FI,TMT03,Review,2019-07-27,2019-08-11,,
110,auditor_0698,ClientCorp 5923,IT,PUB01,Statutory Audit,2017-06-02,2017-06-25,,
111,auditor_2465,ClientCorp 4144,FR,TMT02,Statutory Audit,2017-09-10,2017-10-03,,
112,auditor_1126,ClientCorp 2746,SE,IND03,Statutory Audit,2015-11-11,2015-11-25,,
113,auditor_1045,ClientCorp 0299,DE,FIN03,Review,2024-08-12,2024-08-21,,
114,auditor_0532,ClientCorp 4258,DK,REAL01,Statutory Audit,2023-05-19,2023-06-06,,
115,auditor_3397,ClientCorp 3006,NL,TMT01,Review,2023-09-22,2023-09-26,,
116,auditor_0973,ClientCorp 4034,GB,CONS02,Advisory,2019-10-22,2019-11-19,,
117,auditor_3957,ClientCorp 0380,SE,FIN02,Statutory Audit,2016-01-29,2016-02-07,,
118,auditor_3057,ClientCorp 1056,DK,REAL01,Statutory Audit,2024-06-29,2024-08-02,,
119,auditor_3845,ClientCorp 0346,DK,REAL02,Advisory,2024-10-23,2024-10-26,,
120,auditor_2130,ClientCorp 1665,IT,PUB02,Statutory Audit,2019-06-18,2019-07-11,,
121,auditor_0362,ClientCorp 0224,FR,IND02,Statutory Audit,2022-09-06,2022-09-20,,
122,auditor_0297,ClientCorp 2625,SE,FIN03,Advisory,2017-05-21,2017-05-22,,
123,auditor_3902,ClientCorp 1438,NL,TMT01,Review,2017-11-06,2017-11-18,,
124,auditor_1457,ClientCorp 0427,ES,TMT03,Advisory,2020-09-16,2020-10-04,,
125,auditor_0751,ClientCorp 3574,FR,UTIL02,Statutory Audit,2020-06-11,2020-06-25,,
126,auditor_1738,ClientCorp 4599,IT,ENE02,Review,2016-08-07,2016-08-26,,
127,auditor_0863,ClientCorp 4297,DK,CONS02,Advisory,2018-04-04,2018-04-26,,
128,auditor_0474,ClientCorp 1984,DK,IND03,Statutory Audit,2021-03-21,2021-04-03,,
129,auditor_3251,ClientCorp 4324,FI,ENE01,Assurance Other,2023-10-01,2023-10-03,,
130,auditor_1403,ClientCorp 2445,ES,CONS03,Statutory Audit,2024-09-04,2024-10-04,,
131,auditor_3017,ClientCorp 4331,FI,UTIL01,Statutory Audit,2015-07-08,2015-08-05,,
132,auditor_0957,ClientCorp 5285,SE,REAL01,Statutory Audit,2023-02-12,2023-03-10,,
133,auditor_0218,ClientCorp 0840,DK,PUB02,Review,2020-01-24,2020-02-07,,
134,auditor_2480,ClientCorp 0390,IT,TMT01,Statutory Audit,2021-05-01,2021-05-02,,
135,auditor_2898,ClientCorp 0532,IT,PUB01,Advisory,2018-03-16,2018-03-26,,
136,auditor_0744,ClientCorp 0130,DE,FIN02,Review,2020-01-30,2020-02-14,,
137,auditor_2387,ClientCorp 1357,IT,HC01,Statutory Audit,2021-09-14,2021-10-29,,
138,auditor_2554,ClientCorp 5128,IT,REAL02,Statutory Audit,2022-01-01,2022-01-19,,
139,auditor_3309,ClientCorp 3080,DE,TMT02,Advisory,2022-05-14,2022-05-15,,
140,auditor_3400,ClientCorp 4528,IT,PUB02,Review,2023-07-08,2023-07-12,,
141,auditor_3055,ClientCorp 5979,FR,IND02,Review,2023-07-15,2023-07-25,,
142,auditor_0367,ClientCorp 4278,NL,REAL02,Statutory Audit,2021-01-01,2021-01-15,,
143,auditor_2372,ClientCorp 3147,FI,CONS02,Review,2021-05-18,2021-05-25,,
144,auditor_0601,ClientCorp 2707,DK,PUB01,Statutory Audit,2018-04-20,2018-05-10,,
145,auditor_3163,ClientCorp 4100,IT,TMT01,Advisory,2021-05-21,2021-06-04,,
146,auditor_3245,ClientCorp 1593,FI,PUB01,Assurance Other,2024-12-26,2024-12-30,,
147,auditor_0443,ClientCorp 1516,FI,ENE01,Advisory,2024-01-19,2024-02-09,,
148,auditor_1205,ClientCorp 1158,GB,IND03,Review,2019-10-27,2019-11-01,,
149,auditor_2309,ClientCorp 4587,GB,FIN02,Assurance Other,2015-08-13,2015-08-14,,
150,auditor_2548,ClientCorp 5732,FR,IND02,Statutory Audit,2021-04-04,2021-04-06,,
151,auditor_0634,ClientCorp 3261,GB,REAL01,Review,2020-02-16,2020-02-22,,
152,auditor_3982,ClientCorp 0251,FI,IND02,Review,2016-12-13,2016-12-16,,
153,auditor_1267,ClientCorp 4602,FI,UTIL01,Advisory,2023-02-15,2023-02-21,,
154,auditor_2129,ClientCorp 4971,IT,UTIL01,Statutory Audit,2022-07-07,2022-07-18,,
155,auditor_3718,ClientCorp 2964,NO,UTIL01,Review,2020-10-31,2020-11-04,,
156,auditor_2692,ClientCorp 4597,DE,HC01,Review,2024-05-17,2024-06-08,,
157,auditor_3391,ClientCorp 0026,SE,PUB01,Advisory,2019-07-28,2019-08-13,,
158,auditor_0583,ClientCorp 5695,NL,IND01,Statutory Audit,2019-11-14,2019-11-26,,
159,auditor_0122,ClientCorp 4500,NO,PUB01,Advisory,2023-10-17,2023-11-14,,
160,auditor_1663,ClientCorp 4838,NO,HC01,Review,2021-02-08,2021-02-26,,
161,auditor_1778,ClientCorp 5415,ES,PUB01,Statutory Audit,2023-10-15,2023-10-24,,
162,auditor_1566,ClientCorp 4694,SE,CONS03,Statutory Audit,2019-07-25,2019-08-05,,
163,auditor_3782,ClientCorp 1775,GB,CONS02,Statutory Audit,2020-05-27,2020-06-04,,
164,auditor_0402,ClientCorp 5506,NO,ENE01,Advisory,2024-11-22,2024-11-30,,
165,auditor_3139,ClientCorp 1559,IT,ENE02,Advisory,2018-07-08,2018-08-01,,
166,auditor_1379,ClientCorp 0985,DE,PUB01,Statutory Audit,2017-02-25,2017-02-26,,
167,auditor_1632,ClientCorp 4436,DE,CONS01,Statutory Audit,2021-08-03,2021-08-10,,
168,auditor_3480,ClientCorp 4170,DK,PUB01,Statutory Audit,2015-06-16,2015-07-02,,
169,auditor_3410,ClientCorp 1346,DK,UTIL01,Statutory Audit,2017-07-05,2017-08-01,,
170,auditor_0026,ClientCorp 5470,IT,TMT03,Advisory,2019-11-14,2019-12-01,,
171,auditor_1600,ClientCorp 3190,SE,HC01,Statutory Audit,2015-08-14,2015-08-19,,
172,auditor_3414,ClientCorp 3172,SE,IND01,Statutory Audit,2015-11-04,2015-11-21,,
173,auditor_2737,ClientCorp 1584,DK,FIN03,Advisory,2018-10-03,2018-10-23,,
174,auditor_0196,ClientCorp 0543,IT,IND03,Statutory Audit,2015-08-18,2015-09-16,,
175,auditor_2655,ClientCorp 2288,IT,IND01,Statutory Audit,2022-01-23,2022-02-08,,
176,auditor_0299,ClientCorp 2633,NO,UTIL02,Statutory Audit,2019-07-29,2019-08-08,,
177,auditor_3534,ClientCorp 5158,IT,CONS02,Statutory Audit,2024-10-11,2024-11-11,,
178,auditor_3888,ClientCorp 3632,NO,IND02,Review,2022-01-12,2022-01-25,,
179,auditor_0206,ClientCorp 5980,DE,TMT02,Statutory Audit,2022-02-24,2022-03-24,,
180,auditor_1106,ClientCorp 0138,FR,HC01,Advisory,2019-12-10,2019-12-25,,
181,auditor_2452,ClientCorp 2307,FR,UTIL01,Statutory Audit,2015-08-27,2015-09-09,,
182,auditor_3626,ClientCorp 1145,GB,HC02,Review,2023-07-23,2023-08-02,,
183,auditor_2750,ClientCorp 1066,DK,TMT03,Statutory Audit,2018-11-12,2018-11-22,,
184,auditor_2275,ClientCorp 0755,FR,ENE01,Review,2020-07-08,2020-07-17,,
185,auditor_3779,ClientCorp 3150,IT,ENE01,Advisory,2016-10-21,2016-10-29,,
186,auditor_2864,ClientCorp 4930,DE,CONS02,Statutory Audit,2023-09-21,2023-10-09,,
187,auditor_0093,ClientCorp 3255,ES,HC03,Advisory,2022-07-26,2022-08-02,,
188,auditor_1076,ClientCorp 0551,FI,FIN01,Assurance Other,2017-03-23,2017-03-27,,
189,auditor_1859,ClientCorp 1902,NL,TMT02,Statutory Audit,2016-06-27,2016-08-04,,
190,auditor_1465,ClientCorp 5857,NL,HC02,Advisory,2017-04-09,2017-04-24,,
191,auditor_3751,ClientCorp 3288,SE,IND01,Statutory Audit,2021-02-09,2021-03-06,,
192,auditor_1901,ClientCorp 0088,SE,REAL02,Statutory Audit,2016-11-03,2016-11-18,,
193,auditor_0321,ClientCorp 4940,SE,TMT03,Statutory Audit,2019-04-05,2019-04-19,,
194,auditor_0896,ClientCorp 3457,NL,IND01,Statutory Audit,2020-10-03,2020-10-20,,
195,auditor_0542,ClientCorp 3832,NL,HC01,Statutory Audit,2021-06-06,2021-06-27,,
196,auditor_1540,ClientCorp 0994,SE,HC02,Statutory Audit,2020-01-07,2020-01-21,,
197,auditor_3651,ClientCorp 5472,DE,HC03,Statutory Audit,2018-06-11,2018-07-10,,
198,auditor_2427,ClientCorp 0403,IT,IND03,Review,2016-11-21,2016-11-26,,
199,auditor_1323,ClientCorp 0392,DE,UTIL01,Statutory Audit,2019-06-09,2019-07-14,,
200,auditor_2090,ClientCorp 0353,GB,FIN03,Assurance Other,2016-01-23,2016-01-28,,
201,auditor_1128,ClientCorp 2333,FR,PUB02,Assurance Other,2017-08-26,2017-08-30,,
202,auditor_0839,ClientCorp 5588,GB,PUB01,Statutory Audit,2016-02-21,2016-03-07,,
203,auditor_1926,ClientCorp 4377,FR,ENE02,Statutory Audit,2016-08-03,2016-08-30,,
204,auditor_3034,ClientCorp 4094,NO,REAL01,Review,2016-11-28,2016-12-02,,
205,auditor_0307,ClientCorp 0115,SE,FIN02,Advisory,2022-03-02,2022-03-10,,
206,auditor_3597,ClientCorp 4027,ES,IND02,Advisory,2021-08-09,2021-08-13,,
207,auditor_3388,ClientCorp 1495,DE,FIN03,Statutory Audit,2017-03-03,2017-03-16,,
208,auditor_2127,ClientCorp 3440,NL,HC03,Statutory Audit,2021-02-14,2021-03-03,,
209,auditor_3008,ClientCorp 4025,IT,PUB02,Review,2022-09-14,2022-09-27,,
210,auditor_1793,ClientCorp 1916,FI,FIN02,Review,2024-09-19,2024-09-26,,
211,auditor_3582,ClientCorp 4419,ES,CONS03,Statutory Audit,2016-04-15,2016-04-25,,
212,auditor_0725,ClientCorp 4453,GB,FIN03,Review,2018-07-28,2018-07-31,,
213,auditor_0119,ClientCorp 2773,FR,IND02,Statutory Audit,2023-06-01,2023-06-16,,
214,auditor_3931,ClientCorp 0188,IT,HC03,Statutory Audit,2022-11-18,2022-12-07,,
215,auditor_2230,ClientCorp 5892,SE,ENE02,Review,2019-07-08,2019-07-17,,
216,auditor_1857,ClientCorp 3919,FR,ENE01,Review,2019-07-08,2019-08-03,,
217,auditor_0966,ClientCorp 3319,NO,UTIL01,Statutory Audit,2024-01-21,2024-02-05,,
218,auditor_3522,ClientCorp 0127,GB,ENE01,Statutory Audit,2015-01-10,2015-02-07,,
219,auditor_2214,ClientCorp 1177,NO,HC03,Statutory Audit,2024-06-05,2024-07-06,,
220,auditor_0739,ClientCorp 1835,NO,REAL01,Review,2018-09-05,2018-09-11,,
221,auditor_0353,ClientCorp 3223,NL,PUB02,Review,2022-05-25,2022-06-07,,
222,auditor_0060,ClientCorp 2745,SE,UTIL02,Statutory Audit,2020-01-07,2020-01-18,,
223,auditor_2812,ClientCorp 2171,SE,REAL02,Statutory Audit,2016-09-07,2016-09-25,,
224,auditor_2141,ClientCorp 5336,SE,CONS01,Review,2016-12-14,2016-12-21,,
225,auditor_2337,ClientCorp 1137,FR,TMT03,Statutory Audit,2019-06-18,2019-07-01,,
226,auditor_3092,ClientCorp 4868,IT,UTIL02,Assurance Other,2021-04-02,2021-04-03,,
227,auditor_2188,ClientCorp 5586,IT,PUB01,Statutory Audit,2019-10-28,2019-11-05,,
228,auditor_2494,ClientCorp 4439,DK,REAL02,Statutory Audit,2021-02-17,2021-02-23,,
229,auditor_3903,ClientCorp 1298,NL,HC01,Statutory Audit,2015-06-04,2015-07-02,,
230,auditor_3270,ClientCorp 0278,FI,IND03,Assurance Other,2022-10-04,2022-10-10,,
231,auditor_2712,ClientCorp 4443,IT,IND02,Statutory Audit,2023-01-24,2023-02-09,,
232,auditor_2935,ClientCorp 5665,NO,UTIL02,Statutory Audit,2018-04-10,2018-05-15,,
233,auditor_1221,ClientCorp 4962,IT,ENE02,Statutory Audit,2023-04-01,2023-04-21,,
234,auditor_2097,ClientCorp 4535,SE,IND01,Review,2022-04-05,2022-04-06,,
235,auditor_1161,ClientCorp 2841,ES,IND03,Statutory Audit,2021-02-13,2021-03-02,,
236,auditor_1875,ClientCorp 0294,SE,PUB02,Review,2019-12-13,2019-12-26,,
237,auditor_1462,ClientCorp 1467,GB,PUB01,Statutory Audit,2021-02-06,2021-02-22,,
238,auditor_1833,ClientCorp 3199,NO,UTIL01,Statutory Audit,2021-01-17,2021-02-01,,
239,auditor_0107,ClientCorp 5043,SE,FIN01,Statutory Audit,2019-04-08,2019-04-09,,
240,auditor_3946,ClientCorp 5031,FR,TMT01,Statutory Audit,2022-01-15,2022-01-30,,
241,auditor_2027,ClientCorp 5001,ES,HC02,Statutory Audit,2019-04-24,2019-06-01,,
242,auditor_0614,ClientCorp 5109,ES,CONS01,Statutory Audit,2019-11-23,2019-12-14,,
243,auditor_2036,ClientCorp 5887,NO,IND02,Advisory,2024-05-21,2024-06-09,,
244,auditor_1311,ClientCorp 4229,DK,IND01,Statutory Audit,2020-07-16,2020-08-21,,
245,auditor_3238,ClientCorp 5270,ES,FIN03,Statutory Audit,2022-08-23,2022-09-24,,
246,auditor_0002,ClientCorp 3266,FI,IND01,Review,2022-08-26,2022-08-29,,
247,auditor_1510,ClientCorp 0425,DK,IND03,Review,2024-11-25,2024-11-26,,
248,auditor_2717,ClientCorp 2953,GB,IND02,Review,2019-05-18,2019-05-30,,
249,auditor_2980,ClientCorp 5076,IT,FIN03,Statutory Audit,2020-02-14,2020-02-20,,
250,auditor_0156,ClientCorp 0251,DE,FIN03,Review,2016-11-18,2016-12-05,,
251,auditor_3685,ClientCorp 4439,NL,CONS03,Statutory Audit,2023-05-16,2023-06-07,,
252,auditor_3491,ClientCorp 3069,ES,UTIL01,Statutory Audit,2017-01-17,2017-02-11,,
253,auditor_1610,ClientCorp 3774,NO,UTIL02,Statutory Audit,2017-03-14,2017-03-15,,
254,auditor_1445,ClientCorp 5009,FI,IND03,Statutory Audit,2022-02-27,2022-03-20,,
255,auditor_2596,ClientCorp 1091,IT,CONS01,Review,2023-04-17,2023-04-27,,
256,auditor_3468,ClientCorp 2206,FI,TMT03,Review,2024-04-23,2024-05-08,,
257,auditor_3548,ClientCorp 1594,SE,UTIL02,Statutory Audit,2021-06-03,2021-06-09,,
258,auditor_1393,ClientCorp 3317,NL,REAL02,Statutory Audit,2015-11-23,2015-12-26,,
259,auditor_0764,ClientCorp 4367,FR,HC01,Review,2023-02-07,2023-02-26,,
260,auditor_0728,ClientCorp 2813,NO,UTIL01,Statutory Audit,2021-06-15,2021-07-04,,
261,auditor_1653,ClientCorp 4827,FI,UTIL01,Statutory Audit,2022-10-16,2022-11-05,,
262,auditor_1406,ClientCorp 4340,NL,REAL01,Review,2022-09-12,2022-09-22,,
263,auditor_0418,ClientCorp 1832,SE,CONS01,Advisory,2020-08-28,2020-09-25,,
264,auditor_2293,ClientCorp 5822,DK,REAL02,Statutory Audit,2019-02-07,2019-02-24,,
265,auditor_3897,ClientCorp 5291,GB,IND02,Statutory Audit,2017-12-12,2017-12-26,,
266,auditor_3889,ClientCorp 4577,NL,REAL01,Statutory Audit,2021-11-03,2021-12-12,,
267,auditor_3096,ClientCorp 3996,DE,HC03,Review,2018-03-22,2018-03-30,,
268,auditor_0918,ClientCorp 0063,IT,HC03,Statutory Audit,2022-01-16,2022-02-01,,
269,auditor_0491,ClientCorp 5534,IT,HC03,Advisory,2024-03-30,2024-04-14,,
270,auditor_0305,ClientCorp 0928,FR,TMT01,Advisory,2021-09-19,2021-10-05,,
271,auditor_0675,ClientCorp 0385,NL,TMT02,Statutory Audit,2024-05-05,2024-05-10,,
272,auditor_2383,ClientCorp 1934,SE,IND02,Statutory Audit,2015-06-04,2015-06-17,,
273,auditor_3434,ClientCorp 2984,SE,TMT01,Statutory Audit,2018-06-13,2018-06-30,,
274,auditor_1332,ClientCorp 2406,NL,FIN02,Statutory Audit,2018-08-31,2018-09-12,,
275,auditor_0828,ClientCorp 0879,NL,FIN03,Statutory Audit,2016-12-11,2016-12-30,,
276,auditor_2536,ClientCorp 1757,ES,IND02,Advisory,2020-05-03,2020-05-22,,
277,auditor_0398,ClientCorp 1951,NL,ENE01,Review,2020-01-07,2020-01-18,,
278,auditor_0187,ClientCorp 0132,NO,IND03,Assurance Other,2017-12-24,2018-01-05,,
279,auditor_2855,ClientCorp 5271,SE,IND03,Advisory,2018-03-07,2018-03-29,,
280,auditor_0144,ClientCorp 2899,IT,PUB01,Statutory Audit,2019-04-18,2019-05-04,,
281,auditor_2167,ClientCorp 1000,FR,ENE01,Review,2020-11-15,2020-11-25,,
282,auditor_2299,ClientCorp 0493,NO,HC01,Review,2024-05-12,2024-05-31,,
