Company_ID,Total_Assets,Debt_to_Equity,Current_Ratio,Return_on_Assets,Operating_Margin,Cash_Flow,Auditor_Size,Industry,Going_Concern_Flag
93,447.67,1.18,2.3,0.116,0.147,-0.16,Non-Big4,Construction,0
94,318.63,0.98,2.78,0.051,0.023,0.25,Non-Big4,Retail,0
95,262.6,1.59,1.12,0.028,0.1,0.23,Non-Big4,Services,0
96,326.45,2.89,1.42,0.049,0.053,-0.2,Non-Big4,Manufacturing,0
97,307.44,0.38,0.29,0.034,0.06,0.48,Non-Big4,Manufacturing,0
98,454.54,0.18,1.29,-0.034,0.149,2.16,Non-Big4,Construction,0
99,451.42,1.65,2.4,0.01,-0.014,-0.58,Big4,Manufacturing,0
100,404.29,1.55,1.23,0.096,0.255,1.64,Big4,Manufacturing,0
101,547.77,1.66,2.11,0.083,-0.084,-1.55,Big4,Manufacturing,0
102,928.39,1.72,1.45,0.072,0.026,0.16,Non-Big4,Manufacturing,0
103,784.22,1.3,1.86,-0.01,0.113,0.51,Big4,Manufacturing,0
104,142.68,2.84,0.68,0.047,0.133,3.51,Non-Big4,Services,0
105,67.51,0.06,1.67,-0.092,0.071,0.59,Non-Big4,Retail,0
106,775.9,0.75,0.2,0.072,0.075,-2.3,Big4,Construction,0
107,154.96,1.41,1.45,0.16,0.117,-2.0,Non-Big4,Construction,0
108,344.7,0.02,0.3,-0.043,0.059,1.05,Non-Big4,Retail,0
109,177.85,1.34,2.56,0.019,0.205,1.92,Big4,Manufacturing,0
110,114.28,3.0,2.22,0.083,0.156,1.56,Big4,Retail,0
111,589.35,1.52,1.97,0.148,0.159,1.25,Big4,Services,0
112,686.36,1.71,2.82,0.029,-0.007,2.74,Big4,Manufacturing,0
113,269.47,0.37,0.84,0.012,0.073,0.19,Non-Big4,Services,0
114,65.78,0.95,3.0,-0.078,0.053,2.34,Non-Big4,Retail,0
115,275.24,1.16,2.35,0.067,-0.011,-1.45,Non-Big4,Services,0
116,530.73,1.21,1.41,0.203,0.112,-0.36,Non-Big4,Retail,0
117,143.27,2.65,2.51,0.079,0.032,-1.71,Non-Big4,Manufacturing,0
118,458.68,2.0,0.71,0.058,0.139,0.59,Big4,Construction,0
119,399.13,0.5,0.94,0.083,-0.016,0.93,Non-Big4,Services,0
120,605.17,1.72,1.11,0.059,0.235,1.17,Non-Big4,Manufacturing,0
121,438.65,1.95,1.18,0.003,-0.001,1.09,Non-Big4,Construction,0
122,204.15,2.53,0.75,0.118,0.1,-0.39,Non-Big4,Retail,0
123,932.25,2.92,2.58,0.076,0.151,0.71,Big4,Construction,0
124,361.05,0.59,1.39,0.061,0.029,-1.25,Big4,Services,0
125,395.79,0.77,1.88,-0.008,0.157,3.04,Big4,Retail,0
126,209.92,0.37,1.14,0.151,-0.031,0.54,Non-Big4,Manufacturing,0
127,295.81,1.29,0.2,0.107,0.211,0.27,Non-Big4,Manufacturing,0
128,217.16,1.92,1.82,0.021,0.081,3.38,Non-Big4,Retail,0
129,357.43,2.39,0.2,0.13,0.026,-0.86,Big4,Services,0
130,1337.02,1.43,1.55,0.025,0.053,-0.69,Non-Big4,Manufacturing,0
131,154.42,1.21,0.51,0.005,0.153,-0.64,Non-Big4,Manufacturing,0
132,130.39,1.64,3.19,0.007,0.027,0.9,Big4,Construction,0
133,1129.83,0.75,2.33,-0.064,0.013,1.65,Big4,Construction,0
134,348.44,3.38,1.68,0.093,0.06,2.11,Big4,Retail,0
135,252.56,0.05,2.61,-0.068,-0.026,4.86,Non-Big4,Manufacturing,0
136,835.42,1.67,0.92,-0.026,0.244,-2.37,Big4,Manufacturing,0
137,264.03,3.32,2.03,-0.085,0.029,1.91,Non-Big4,Manufacturing,0
138,1448.39,1.51,1.76,0.054,0.155,0.16,Non-Big4,Construction,0
139,648.43,1.33,1.81,0.049,0.099,0.12,Big4,Manufacturing,0
140,286.71,1.18,2.62,0.037,-0.009,0.07,Non-Big4,Services,0
141,1826.42,1.34,2.19,-0.013,0.079,-0.36,Non-Big4,Manufacturing,0
142,264.01,2.74,1.83,-0.022,0.151,3.53,Big4,Services,0
143,678.22,0.0,0.28,0.093,0.063,2.26,Non-Big4,Services,0
144,497.45,2.88,0.83,0.021,0.187,1.03,Big4,Construction,0
145,1003.47,0.22,1.5,0.082,0.172,3.03,Big4,Manufacturing,0
146,1203.58,1.26,1.67,-0.002,0.163,-1.27,Big4,Manufacturing,0
147,412.57,1.11,0.7,0.073,0.039,-1.0,Non-Big4,Manufacturing,0
148,238.08,2.03,3.53,0.151,-0.017,-2.27,Non-Big4,Construction,0
149,556.67,0.06,2.81,0.101,0.025,-0.05,Big4,Construction,0
150,251.04,1.92,2.08,0.031,0.098,1.24,Big4,Services,0
151,1651.39,3.32,1.66,0.078,0.129,1.15,Non-Big4,Services,0
152,443.89,0.27,1.43,0.043,-0.115,1.22,Big4,Services,0
153,312.4,1.67,0.84,0.061,0.079,-1.12,Big4,Manufacturing,0
154,459.1,0.9,1.66,0.037,0.094,2.2,Non-Big4,Construction,0
155,157.12,1.88,1.81,0.048,0.055,1.36,Non-Big4,Retail,0
156,204.36,1.52,0.61,0.075,0.196,2.1,Big4,Retail,0
157,934.76,0.92,1.87,-0.01,0.118,-1.84,Non-Big4,Retail,0
158,254.72,1.94,1.48,-0.011,0.198,1.47,Non-Big4,Manufacturing,0
159,193.87,3.12,0.2,-0.037,0.061,-0.78,Big4,Manufacturing,0
160,587.37,1.33,0.91,-0.052,0.164,0.4,Non-Big4,Services,0
161,925.18,2.15,1.27,-0.025,0.227,1.8,Big4,Manufacturing,0
162,667.32,0.34,3.11,0.071,0.198,1.14,Non-Big4,Services,0
163,810.16,0.64,2.05,-0.002,-0.018,-0.28,Non-Big4,Manufacturing,0
164,237.52,1.93,0.53,0.096,0.057,1.01,Non-Big4,Retail,0
165,149.12,2.84,1.99,0.062,0.049,-1.3,Big4,Manufacturing,0
166,1153.94,1.82,0.36,-0.078,0.124,2.73,Non-Big4,Retail,0
167,321.86,1.22,2.47,0.106,0.142,0.69,Big4,Services,0
168,338.46,1.5,1.22,0.117,0.004,2.68,Big4,Manufacturing,0
169,1022.22,0.37,1.53,-0.01,0.086,0.21,Big4,Services,0
170,595.48,2.04,2.66,0.089,-0.102,0.21,Non-Big4,Retail,0
171,555.09,2.29,0.57,0.0,0.21,-0.15,Non-Big4,Services,0
172,1836.29,1.09,0.48,0.067,0.034,2.31,Big4,Construction,0
173,257.12,1.08,1.13,-0.029,0.085,-0.06,Non-Big4,Services,0
174,772.39,1.74,2.43,-0.066,0.052,1.97,Big4,Manufacturing,0
175,419.85,1.11,0.38,0.033,0.183,0.43,Non-Big4,Manufacturing,0
176,486.88,1.44,0.2,0.051,-0.175,-1.96,Big4,Manufacturing,1
177,1176.06,3.39,1.24,0.032,0.079,0.14,Non-Big4,Services,0
178,575.64,1.28,2.04,-0.023,0.07,-0.77,Big4,Manufacturing,0
179,588.05,1.18,2.56,0.032,0.039,1.05,Non-Big4,Retail,0
180,854.7,0.92,1.23,0.079,0.235,-0.79,Big4,Services,0
181,312.48,2.17,1.27,0.057,0.0,2.39,Big4,Retail,0
182,224.2,1.34,2.52,0.073,0.149,0.86,Big4,Services,0
183,194.15,0.92,0.2,0.013,0.112,0.73,Non-Big4,Manufacturing,0
184,101.86,2.69,1.29,0.142,0.194,1.98,Non-Big4,Manufacturing,0
185,1701.64,2.78,1.75,-0.022,0.02,2.45,Big4,Services,0
186,186.37,0.96,1.96,0.094,0.014,0.97,Non-Big4,Retail,0
187,345.54,0.0,1.19,0.143,0.179,-0.16,Non-Big4,Services,0
188,332.36,2.41,1.63,0.094,0.118,-1.66,Non-Big4,Retail,0
189,500.29,0.88,0.2,0.046,-0.059,-0.03,Non-Big4,Manufacturing,0
190,714.1,2.21,1.07,0.023,0.031,0.07,Big4,Construction,0
191,736.81,0.0,1.96,0.133,0.115,1.16,Big4,Services,0
192,268.23,2.3,0.81,-0.04,0.155,0.48,Non-Big4,Services,0
193,358.89,0.41,1.65,-0.008,0.019,2.03,Non-Big4,Manufacturing,0
194,491.67,2.16,1.96,0.032,-0.182,0.08,Non-Big4,Services,0
195,338.97,1.51,1.33,0.147,0.127,0.91,Big4,Retail,0
196,1242.82,0.64,1.74,0.087,-0.03,2.78,Big4,Manufacturing,0
197,568.89,1.13,0.83,-0.008,-0.102,1.51,Non-Big4,Construction,0
198,674.8,2.12,1.43,0.038,-0.175,0.91,Non-Big4,Manufacturing,0
199,641.63,1.6,2.09,0.017,0.153,0.1,Non-Big4,Construction,0
200,917.3,2.03,1.73,0.01,0.092,0.05,Non-Big4,Retail,0
201,457.93,3.28,1.13,0.129,0.06,-0.28,Non-Big4,Manufacturing,0
202,162.75,0.09,1.78,-0.036,0.205,0.19,Big4,Retail,0
203,533.67,2.96,2.17,0.173,0.137,2.13,Big4,Construction,0
204,255.71,1.59,0.2,0.118,0.225,0.67,Non-Big4,Services,0
205,278.65,0.69,2.53,0.136,-0.045,-1.02,Non-Big4,Construction,0
206,608.17,0.3,1.33,0.028,0.077,3.65,Big4,Services,0
207,959.87,1.33,1.94,0.05,-0.066,1.48,Big4,Services,0
208,409.48,2.33,2.56,-0.04,0.059,-1.11,Non-Big4,Construction,1
209,500.79,1.39,0.5,0.023,0.058,0.34,Big4,Manufacturing,0
210,1328.16,2.86,1.03,0.095,0.136,1.17,Big4,Retail,0
211,477.48,0.19,1.37,0.151,0.084,3.56,Non-Big4,Manufacturing,0
212,2492.84,1.49,0.97,-0.018,0.136,-0.66,Non-Big4,Construction,0
213,599.36,0.37,2.99,0.034,0.143,2.46,Non-Big4,Construction,0
214,117.62,1.83,0.91,0.049,0.274,3.1,Big4,Manufacturing,0
215,683.58,2.3,1.16,-0.038,0.052,0.06,Non-Big4,Services,1
216,526.79,1.12,1.76,0.101,-0.005,0.58,Big4,Construction,0
217,995.08,0.0,0.64,0.009,0.102,-0.55,Big4,Manufacturing,0
218,646.28,1.68,1.28,0.046,0.008,0.69,Non-Big4,Services,0
219,366.16,1.89,1.85,0.028,0.213,0.95,Non-Big4,Construction,0
220,171.23,1.86,1.33,0.005,0.055,1.99,Non-Big4,Manufacturing,0
221,348.52,2.61,1.53,0.06,0.029,2.64,Non-Big4,Services,0
222,222.44,0.54,1.18,0.045,0.038,-0.12,Non-Big4,Manufacturing,0
223,268.71,2.11,0.39,0.034,0.145,-1.95,Big4,Construction,0
224,609.11,2.57,1.86,0.009,0.066,0.97,Big4,Construction,0
225,1298.46,0.0,3.0,0.082,0.022,1.44,Big4,Construction,0
226,531.8,1.79,1.61,0.176,0.23,1.37,Big4,Retail,0
227,174.67,1.05,1.78,0.07,0.003,0.51,Non-Big4,Construction,0
228,550.72,1.43,2.15,0.13,0.083,1.19,Big4,Construction,0
229,932.29,1.81,0.58,-0.037,0.139,3.27,Non-Big4,Retail,0
230,263.26,1.06,2.96,0.071,-0.067,1.57,Non-Big4,Construction,0
231,367.3,0.89,1.76,-0.017,0.123,0.44,Non-Big4,Manufacturing,0
232,407.6,1.53,2.91,-0.043,-0.015,0.25,Non-Big4,Services,0
233,232.89,0.52,1.01,0.008,0.154,0.75,Non-Big4,Manufacturing,0
234,635.11,0.52,3.05,0.143,-0.007,3.46,Non-Big4,Manufacturing,0
235,370.68,2.11,2.22,0.127,0.142,0.73,Big4,Manufacturing,0
236,541.14,0.47,2.04,0.077,0.18,0.97,Non-Big4,Services,0
237,216.75,2.1,1.79,-0.047,0.158,0.28,Big4,Retail,0
238,297.01,1.92,1.4,0.046,0.103,2.65,Big4,Services,0
239,668.92,0.0,2.56,0.081,0.059,3.94,Non-Big4,Manufacturing,0
240,310.76,0.89,1.71,0.072,0.028,1.68,Big4,Retail,0
241,1351.37,2.57,0.2,-0.069,0.212,1.12,Non-Big4,Retail,0
242,304.98,0.62,0.71,-0.002,0.017,1.06,Non-Big4,Services,0
243,472.14,1.08,1.45,0.056,-0.013,-2.58,Non-Big4,Retail,0
244,774.96,1.92,1.85,0.098,0.14,2.12,Big4,Services,0
245,149.48,2.21,1.55,-0.094,0.008,1.2,Big4,Construction,0
246,117.62,1.27,2.58,0.049,-0.006,1.64,Non-Big4,Services,0
247,138.66,0.96,0.2,0.07,-0.05,-0.07,Non-Big4,Manufacturing,0
248,976.34,2.78,1.71,0.119,0.037,0.42,Non-Big4,Manufacturing,1
249,274.16,3.07,0.2,0.109,0.073,0.38,Non-Big4,Construction,0
250,2418.11,2.38,2.21,0.101,0.102,2.53,Non-Big4,Manufacturing,0
251,271.79,1.58,1.52,0.004,0.166,0.43,Big4,Construction,0
252,459.06,0.77,1.94,-0.074,0.127,4.12,Big4,Retail,0
253,1187.35,0.75,0.91,0.032,0.063,1.65,Non-Big4,Construction,0
254,1642.98,1.97,2.62,0.13,0.062,-0.91,Big4,Services,0
255,1707.96,1.88,2.43,0.158,0.126,0.81,Big4,Construction,0
256,939.98,2.76,2.07,0.11,0.195,0.02,Non-Big4,Retail,0
257,826.21,2.09,1.5,0.09,0.091,-2.29,Non-Big4,Services,0
258,610.8,0.15,2.06,0.087,0.038,3.4,Non-Big4,Retail,0
259,695.65,2.45,1.03,0.021,-0.009,2.05,Non-Big4,Retail,0
260,274.29,0.6,2.28,0.051,-0.05,1.8,Big4,Services,0
261,227.53,1.15,2.92,0.177,0.14,1.25,Non-Big4,Construction,0
262,402.48,1.73,2.46,-0.006,0.132,-1.07,Non-Big4,Construction,0
263,358.12,3.3,1.02,0.173,0.132,0.27,Big4,Services,0
264,293.75,4.3,1.89,0.037,0.068,2.26,Non-Big4,Retail,0
265,656.86,2.05,0.57,0.153,0.207,-0.58,Non-Big4,Retail,0
266,787.38,1.34,2.06,-0.038,0.036,-2.8,Non-Big4,Services,0
267,429.18,1.98,1.96,0.101,0.166,0.66,Non-Big4,Manufacturing,0
268,1134.87,2.3,0.2,0.008,0.077,0.79,Non-Big4,Manufacturing,0
269,181.42,1.21,0.67,-0.039,0.025,1.2,Big4,Retail,0
270,352.28,3.12,1.37,0.075,0.133,2.09,Big4,Manufacturing,0
271,244.26,1.71,1.36,0.131,0.117,1.96,Non-Big4,Manufacturing,0
272,109.23,1.95,0.63,0.001,0.112,1.39,Non-Big4,Manufacturing,0
273,380.74,2.1,1.91,-0.045,0.087,2.79,Non-Big4,Manufacturing,0
274,370.47,1.88,1.8,0.054,0.077,-1.28,Non-Big4,Manufacturing,0
275,1163.76,2.26,1.44,0.054,0.295,1.76,Non-Big4,Construction,0
276,627.39,0.94,1.0,0.098,0.187,1.94,Non-Big4,Retail,0
277,196.97,1.0,2.44,0.126,0.145,-0.86,Non-Big4,Retail,0
278,1477.14,0.51,2.92,0.056,0.09,-1.25,Non-Big4,Services,0
279,948.35,1.9,1.21,0.19,0.171,-0.12,Non-Big4,Manufacturing,0
280,606.36,2.2,1.11,0.076,0.127,0.01,Non-Big4,Construction,0
281,344.28,1.91,1.99,0.036,0.082,2.13,Non-Big4,Services,0
282,206.11,3.01,1.31,-0.053,0.053,0.08,Big4,Manufacturing,0
283,310.9,1.49,1.49,0.042,0.073,-0.28,Big4,Retail,0
284,864.48,2.1,2.19,0.036,-0.205,0.08,Big4,Construction,0
285,1509.01,0.52,0.2,0.127,0.099,2.68,Non-Big4,Construction,0
286,1188.29,1.15,2.65,0.092,0.036,1.02,Big4,Retail,0
287,286.52,2.13,1.66,-0.023,0.223,0.73,Non-Big4,Services,0
288,184.25,2.26,1.27,0.072,0.082,0.83,Non-Big4,Manufacturing,0
289,445.24,1.24,1.53,0.107,-0.027,2.94,Big4,Construction,0
290,116.99,1.44,1.57,0.167,0.076,-0.12,Non-Big4,Manufacturing,0
291,505.84,0.13,0.22,0.122,-0.014,2.97,Big4,Construction,0
292,363.83,1.18,2.8,0.113,0.123,1.32,Big4,Services,0
293,291.13,2.3,1.63,0.064,0.106,0.76,Non-Big4,Services,0
294,132.12,2.02,1.95,0.087,0.166,4.75,Big4,Retail,0
295,577.97,1.95,2.36,0.147,0.009,-0.58,Big4,Manufacturing,0
296,277.86,1.54,0.78,-0.033,0.083,0.47,Non-Big4,Manufacturing,0
297,177.87,1.51,1.98,0.036,-0.043,-0.85,Non-Big4,Manufacturing,0
298,54.02,0.91,1.39,0.006,0.143,2.43,Big4,Manufacturing,0
299,395.73,2.13,2.28,0.087,0.127,3.53,Non-Big4,Services,0
300,1394.9,1.88,0.2,0.146,0.125,3.5,Big4,Retail,0
301,1290.62,1.94,1.52,0.018,0.08,2.84,Big4,Manufacturing,0
302,292.96,1.03,1.12,-0.107,0.117,0.7,Non-Big4,Construction,0
303,264.66,0.0,1.95,0.031,0.224,0.45,Non-Big4,Construction,0
304,560.11,2.49,1.98,0.124,0.054,-1.51,Non-Big4,Construction,0
305,200.56,1.07,1.03,0.098,0.092,4.05,Non-Big4,Construction,0
306,498.33,0.72,1.03,0.09,-0.018,1.7,Non-Big4,Manufacturing,0
307,689.7,2.12,1.51,0.04,0.002,0.26,Non-Big4,Retail,0
308,952.27,1.15,0.88,-0.03,0.089,2.99,Big4,Services,0
309,376.11,2.45,2.27,0.096,0.179,-0.46,Non-Big4,Services,0
310,349.82,2.06,1.3,0.002,0.057,1.61,Big4,Manufacturing,0
311,218.2,2.12,0.2,0.213,0.059,0.74,Non-Big4,Construction,0
312,226.15,0.27,1.3,0.1,0.043,1.96,Big4,Manufacturing,0
313,344.28,2.59,0.77,0.019,0.032,0.9,Big4,Manufacturing,1
314,521.73,1.74,0.29,0.017,0.107,-1.18,Non-Big4,Retail,0
315,764.72,1.17,0.61,0.053,-0.055,1.11,Non-Big4,Services,0
316,229.93,1.63,1.69,0.043,0.195,2.57,Non-Big4,Services,0
317,1146.97,0.0,2.66,0.138,0.02,0.96,Non-Big4,Manufacturing,0
318,333.69,1.87,1.85,0.073,0.145,2.16,Big4,Construction,0
319,397.44,0.57,1.11,0.009,-0.034,-0.57,Big4,Manufacturing,0
320,239.12,0.28,1.96,0.192,0.14,0.96,Big4,Manufacturing,0
321,73.92,0.13,1.23,0.063,0.14,0.06,Non-Big4,Construction,0
322,749.07,2.5,1.04,0.114,0.115,2.12,Non-Big4,Construction,0
323,675.73,0.93,0.68,0.017,-0.009,1.05,Non-Big4,Construction,0
324,331.32,2.88,0.2,0.085,0.102,2.04,Big4,Construction,0
325,422.8,1.02,1.29,0.082,-0.026,2.63,Non-Big4,Services,0
326,578.92,0.0,1.73,-0.072,0.057,2.04,Non-Big4,Services,0
327,135.13,0.5,1.52,0.201,0.173,1.41,Non-Big4,Manufacturing,0
328,278.57,2.61,1.27,0.15,0.152,-0.5,Non-Big4,Retail,0
329,703.44,1.36,0.84,0.032,0.081,1.0,Non-Big4,Retail,0
330,167.67,1.01,2.09,-0.017,-0.008,0.2,Big4,Manufacturing,0
331,495.46,1.64,0.55,0.084,0.138,0.48,Big4,Services,0
332,156.08,1.95,2.22,0.066,0.082,0.44,Non-Big4,Retail,0
333,559.2,2.51,0.8,0.085,-0.129,-0.47,Big4,Manufacturing,0
334,393.49,2.8,1.0,0.073,0.15,-1.94,Big4,Manufacturing,0
335,130.24,1.18,0.43,0.095,0.078,-0.0,Big4,Services,0
336,911.71,0.31,1.2,0.161,0.188,1.29,Big4,Manufacturing,0
337,241.24,1.13,2.38,0.1,-0.019,-1.02,Non-Big4,Construction,0
338,228.79,1.73,2.01,-0.013,-0.206,1.02,Non-Big4,Retail,0
339,464.24,0.63,2.38,0.155,0.105,3.85,Non-Big4,Retail,0
340,901.49,0.64,2.02,0.175,0.106,2.53,Big4,Services,0
341,198.13,1.81,0.72,0.281,-0.072,3.47,Non-Big4,Construction,0
342,421.23,1.46,1.34,-0.019,-0.008,1.59,Non-Big4,Retail,0
343,544.67,1.53,0.98,0.077,0.328,2.75,Big4,Services,0
344,655.35,0.82,2.66,-0.086,0.052,-0.09,Non-Big4,Services,0
345,456.46,1.29,0.64,0.099,0.146,0.03,Big4,Manufacturing,0
346,312.02,0.67,2.31,0.022,0.021,-3.11,Non-Big4,Construction,0
347,226.03,2.3,2.31,0.195,-0.108,2.78,Non-Big4,Services,0
348,428.5,2.43,3.06,0.006,0.065,3.31,Big4,Services,0
349,190.47,0.0,1.27,-0.058,0.056,0.17,Big4,Construction,0
350,52.2,0.66,2.17,0.027,0.044,0.62,Non-Big4,Construction,0
351,547.63,0.15,3.43,-0.078,0.07,-0.13,Non-Big4,Services,0
352,759.57,0.91,1.11,0.113,0.104,1.57,Non-Big4,Construction,0
